231,1,36928,36927,1,com_k2,com_k2,"{""core.admin"":{""8"":1},""core.manage"":{""7"":1,""10"":1},""core.create"":{""6"":1,""3"":1,""10"":1},""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""core.edit.own"":{""6"":1,""3"":1,""10"":1}}"
234,1,36930,36929,1,com_joomlaupdate,com_joomlaupdate,"{""core.admin"":{""7"":1,""8"":1},""core.manage"":{""7"":1},""core.delete"":{""6"":1},""core.edit.state"":{""6"":1,""5"":1}}"
235,1,36932,36931,1,com_finder,com_finder,{}
236,1,36934,36933,1,com_tags,com_tags,{}
237,1,36936,36935,1,com_contenthistory,com_contenthistory,{}
238,1,36938,36937,1,com_ajax,com_ajax,{}
239,1,36940,36939,1,com_postinstall,com_postinstall,{}
261,18,36401,36400,2,com_modules.module.132,"""solid-1"" Style","{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1}}"
262,18,36403,36402,2,com_modules.module.131,"""solid-2"" Style","{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1}}"
263,18,36405,36404,2,com_modules.module.115,Plain with Icons,"{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""module.edit.frontend"":[]}"
266,18,36407,36406,2,com_modules.module.443,Follow us,{}
274,340,174,175,3,com_content.category.86,News,"{""core.create"":{""6"":1,""3"":1},""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""core.edit.own"":{""6"":1,""3"":1}}"
286,18,36409,36408,2,com_modules.module.453,Eguide collaborazione,"{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1}}"
288,18,36411,36410,2,"com_modules.module.140","Position ""user5""","{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""module.edit.frontend"":[]}"
289,18,36413,36412,2,com_modules.module.122,"Position ""user6""","{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""module.edit.frontend"":[]}"
290,18,36415,36414,2,com_modules.module.121,"Position ""user7""","{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""module.edit.frontend"":[]}"
298,18,36417,36416,2,com_modules.module.136,"Position ""user1""","{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""module.edit.frontend"":[]}"
299,18,36419,36418,2,com_modules.module.137,"Position ""user2""","{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""module.edit.frontend"":[]}"
300,18,36421,36420,2,com_modules.module.123,"Position ""user3""","{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""module.edit.frontend"":[]}"
301,18,36423,36422,2,com_modules.module.139,"Position ""user4""","{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""module.edit.frontend"":[]}"
304,18,36425,36424,2,com_modules.module.461,Forum,"{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1}}"
305,18,36427,36426,2,com_modules.module.462,Impronte mag,"{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1}}"
306,18,36429,36428,2,com_modules.module.463,Itinerari EUROVELO,"{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1}}"
307,18,36431,36430,2,com_modules.module.464,Grandi Itinerari,"{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1}}"
308,18,36433,36432,2,com_modules.module.465,Cicloturismo,"{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1}}"
309,18,36435,36434,2,com_modules.module.466,Autori,"{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1}}"
310,18,36437,36436,2,com_modules.module.467,"Be Wild, Ride Free","{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1}}"
311,18,36439,36438,2,com_modules.module.78,Esplora,"{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1}}"
312,18,36441,36440,2,com_modules.module.468,Copyright,"{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1}}"
334,18,36443,36442,2,com_modules.module.484,Latest news about our activities,"{""core.delete"":[],""core.edit"":[],""core.edit.state"":[],""module.edit.frontend"":[]}"
335,340,172,173,3,com_content.category.87,Event,"{""core.create"":{""6"":1,""3"":1},""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""core.edit.own"":{""6"":1,""3"":1}}"
340,8,171,200,2,com_content.category.88,Sample category 1,"{""core.create"":{""6"":1,""3"":1},""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""core.edit.own"":{""6"":1,""3"":1}}"
342,340,196,199,3,com_content.category.89,Sample category 2,"{""core.create"":{""6"":1,""3"":1},""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""core.edit.own"":{""6"":1,""3"":1}}"
343,340,186,187,3,"com_content.category.90",Causes,"{""core.create"":{""6"":1,""3"":1},""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""core.edit.own"":{""6"":1,""3"":1}}"
344,342,197,198,4,com_content.category.91,Blog,"{""core.create"":{""6"":1,""3"":1},""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""core.edit.own"":{""6"":1,""3"":1}}"
352,340,188,189,3,com_content.category.92,Political,"{""core.create"":{""6"":1,""3"":1},""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""core.edit.own"":{""6"":1,""3"":1}}"
357,340,176,177,3,com_content.category.93,Political 2,"{""core.create"":{""6"":1,""3"":1},""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""core.edit.own"":{""6"":1,""3"":1}}"
363,18,36445,36444,2,"com_modules.module.490",Benvenuto su Life in Travel,{}
371,18,36447,36446,2,com_modules.module.497,Vero MTB Home,"{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1}}"
374,18,36449,36448,2,"com_modules.module.500",Latest blog,"{""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1}}"
375,340,192,193,3,com_content.category.94,News,"{""core.create"":{""6"":1,""3"":1},""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""core.edit.own"":{""6"":1,""3"":1}}"
386,340,194,195,3,com_content.category.95,Sample category 3,"{""core.create"":{""6"":1,""3"":1},""core.delete"":{""6"":1},""core.edit"":{""6"":1,""4"":1},""core.edit.state"":{""6"":1,""5"":1},""core.edit.own"":{""6"":1,""3"":1}}"
390,18,36451,36450,2,com_modules.module.507,Autori,{}
