68,"0",About Parks,"","<p>The Parks sample site is designed as a simple site that can be routinely updated from the front end of Joomla!.</p><p>As a site, it is largely focused on a blog which can be updated using the front end article submission.</p><p>New weblinks can also be added through the front end.</p><p>A simple image gallery uses com_content with thumbnails displayed in a blog layout and full size images shown in article layout.</p><p>The Parks site features the language switch module. All of the content and modules are tagged as English (en-GB). If a second language pack is added with sample data this can be filtered using the language switch.</p><p>Parks uses HTML5 which is a major web standard (along with XHTML which is used in other areas of sample data).</p>",2,position-4,"0","0000-00-00 00:00:00",2020-05-12 07:42:44,"0000-00-00 00:00:00",-2,mod_custom,1,1,"{""prepare_content"":""1"",""layout"":"""",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static""}","0",*
74,519,Contenuti recenti,"","<p>{slider title=""Ultimi Articoli"" class=""blue""}</p>
<p>{loadposition articoli}</p>
<p>{slider title=""Ultime dal Forum"" class=""green""}</p>
<p>{loadposition forum}</p>
<p>{slider title=""Ultimi commenti"" class=""orange""}</p>
<p>{loadposition commenti}</p>
<p>{/sliders}</p>",15,right,"0","0000-00-00 00:00:00",2022-03-03 10:55:59,"0000-00-00 00:00:00",1,mod_custom,1,1,"{""prepare_content"":1,""backgroundimage"":"""",""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":1,""cache_time"":900,""cachemode"":""static"",""module_tag"":""div"",""bootstrap_size"":""0"",""header_tag"":""h3"",""header_class"":"""",""style"":""Jsn_dona2_pro-default""}","0",it-IT
78,311,Esplora,"","",2,"","0","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",1,mod_menu,1,1,"{""menutype"":""sidebar"",""base"":"""",""startLevel"":1,""endLevel"":1,""showAllChildren"":0,""tag_id"":"""",""class_sfx"":"""",""window_open"":"""",""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":1,""cache_time"":900,""cachemode"":""itemid"",""module_tag"":""div"",""bootstrap_size"":""0"",""header_tag"":""h3"",""header_class"":"""",""style"":""0"",""mobilemenuck_enable"":""0"",""mobilemenuck_detectiontype"":""resolution"",""mobilemenuck_resolution"":""640"",""mobilemenuck_container"":""body"",""mobilemenuck_displayeffect"":""normal"",""mobilemenuck_menuwidth"":""300"",""mobilemenuck_displaytype"":""accordion"",""mobilemenuck_tooglebarevent"":""click"",""mobilemenuck_tooglebaron"":""all"",""mobilemenuck_openedonactiveitem"":""0"",""mobilemenuck_useimages"":""0"",""mobilemenuck_usemodules"":""0"",""mobilemenuck_showdesc"":""0"",""mobilemenuck_showmobilemenutext"":""default"",""mobilemenuck_mobilemenutext"":"""",""mobilemenuck_beforetext"":"""",""mobilemenuck_aftertext"":"""",""mobilemenuck_showlogo"":""1"",""mobilemenuck_logo_source"":""maximenuck"",""mobilemenuck_logoimage"":"""",""mobilemenuck_logolink"":"""",""mobilemenuck_logoalt"":"""",""mobilemenuck_logoposition"":""left"",""mobilemenuck_logowidth"":"""",""mobilemenuck_logoheight"":"""",""mobilemenuck_logomargintop"":"""",""mobilemenuck_logomarginright"":"""",""mobilemenuck_logomarginbottom"":"""",""mobilemenuck_logomarginleft"":""""}","0",it-IT
83,666,Mappa dei viaggi,Mappa megamenu,"<p style=""text-align: center;""><a title=""Mappa dei viaggi"" href=""index.php?option=com_k2&amp;view=item&amp;layout=item&amp;id=2066&amp;Itemid=3613&amp;lang=it""><img style=""display: block; margin: 5px auto;"" src=""images/menuicon/megamenu/World-Map.webp"" alt=""Mappa dei cicloviaggi"" /></a></p>
<p style=""text-align: center;"">Centinaia di viaggi in bici nel mondo. Clicca il link per accedere alla mappa oppure seleziona i filtri a destra per trovare il percorso più adatto a te.</p>
<p style=""text-align: center;""><a class=""btn btn-primary"" title=""Mappa dei viaggi"" href=""index.php?option=com_k2&amp;view=item&amp;layout=item&amp;id=2066&amp;Itemid=3613&amp;lang=it"">Vedi la mappa</a></p>",1,"","0","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",1,mod_custom,1,1,"{""prepare_content"":1,""backgroundimage"":"""",""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":1,""cache_time"":900,""cachemode"":""static"",""module_tag"":""div"",""bootstrap_size"":""0"",""header_tag"":""h3"",""header_class"":"""",""style"":""0""}","0",it-IT
100,458,Breadcrumbs,desktop,"",10,content-top,"0","0000-00-00 00:00:00",2022-11-30 09:31:26,"0000-00-00 00:00:00",1,mod_breadcrumbs,1,"0","{""showHere"":1,""showHome"":0,""homeText"":""Home"",""showLast"":0,""separator"":"""",""layout"":""_:default"",""moduleclass_sfx"":"" visible-lg visible-md"",""cache"":0,""cache_time"":900,""cachemode"":""itemid"",""module_tag"":""div"",""bootstrap_size"":""0"",""header_tag"":""h3"",""header_class"":"""",""style"":""0""}","0",*
104,480,Main Menu English,"","",1,mainmenu,"0","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",1,mod_menu,1,"0","{""menutype"":""menu-eng"",""base"":"""",""startLevel"":1,""endLevel"":3,""showAllChildren"":1,""tag_id"":"""",""class_sfx"":""menu-mainmenu"",""window_open"":"""",""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":0,""cache_time"":900,""cachemode"":""itemid"",""module_tag"":""div"",""bootstrap_size"":""0"",""header_tag"":""h3"",""header_class"":"""",""style"":""0"",""mobilemenuck_enable"":""0"",""mobilemenuck_detectiontype"":""resolution"",""mobilemenuck_resolution"":""640"",""mobilemenuck_container"":""body"",""mobilemenuck_displayeffect"":""normal"",""mobilemenuck_menuwidth"":""300"",""mobilemenuck_displaytype"":""accordion"",""mobilemenuck_tooglebarevent"":""click"",""mobilemenuck_tooglebaron"":""all"",""mobilemenuck_openedonactiveitem"":""0"",""mobilemenuck_useimages"":""0"",""mobilemenuck_usemodules"":""0"",""mobilemenuck_showdesc"":""0"",""mobilemenuck_showmobilemenutext"":""default"",""mobilemenuck_mobilemenutext"":"""",""mobilemenuck_beforetext"":"""",""mobilemenuck_aftertext"":"""",""mobilemenuck_showlogo"":""1"",""mobilemenuck_logo_where"":[""1""],""mobilemenuck_logo_source"":""maximenuck"",""mobilemenuck_logoimage"":"""",""mobilemenuck_logolink"":"""",""mobilemenuck_logoalt"":"""",""mobilemenuck_logoposition"":""left"",""mobilemenuck_logowidth"":"""",""mobilemenuck_logoheight"":"""",""mobilemenuck_logomargintop"":"""",""mobilemenuck_logomarginright"":"""",""mobilemenuck_logomarginbottom"":"""",""mobilemenuck_logomarginleft"":""""}","0",en-GB
107,"0","Position ""stick-leftbottom""","","<a><img src=""images/extensions/custom-html/position-stick-x/position-stick-leftbottom.png"" width=""65"" height=""190"" alt=""Sample module in position -stick-leftbottom-"" /></a>",1,stick-leftbottom,"0","0000-00-00 00:00:00",2020-05-12 07:43:19,"0000-00-00 00:00:00",-2,mod_custom,1,"0","{""prepare_content"":""1"",""backgroundimage"":"""",""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static""}","0",*
108,"0","Position ""stick-leftmiddle'","","<a><img src=""images/extensions/custom-html/position-stick-x/position-stick-leftmiddle.png"" width=""65"" height=""190"" alt=""Sample module in position -stick-leftmiddle-"" /></a>",1,stick-leftmiddle,"0","0000-00-00 00:00:00",2020-05-12 07:43:19,"0000-00-00 00:00:00",-2,mod_custom,1,"0","{""prepare_content"":""1"",""backgroundimage"":"""",""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static""}","0",*
109,"0","Position ""stick-lefttop""","","<a><img src=""images/extensions/custom-html/position-stick-x/position-stick-lefttop.png"" width=""65"" height=""190"" alt=""Sample module in position -stick-lefttop-"" /></a>",1,stick-lefttop,"0","0000-00-00 00:00:00",2020-05-12 07:43:19,"0000-00-00 00:00:00",-2,mod_custom,1,"0","{""prepare_content"":""1"",""backgroundimage"":"""",""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static""}","0",*
111,"0","Position ""stick-rightbottom""","","<a><img src=""images/extensions/custom-html/position-stick-x/position-stick-rightbottom.png"" width=""65"" height=""190"" alt=""Sample module in position -rightbottom-"" /></a>","0",stick-rightbottom,"0","0000-00-00 00:00:00",2020-05-12 07:43:19,"0000-00-00 00:00:00",-2,mod_custom,1,"0","{""prepare_content"":""1"",""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static""}","0",*
