id,name,value,type,group,published,ordering
32,Montaggio,"[{""name"":""1"",""value"":2,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""2"",""value"":3,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""3"",""value"":4,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""4"",""value"":5,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""5"",""value"":6,""target"":null,""alias"":"""",""required"":0,""showNull"":1}]",select,7,1,10
33,Materiali,"[{""name"":""1"",""value"":2,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""2"",""value"":3,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""3"",""value"":4,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""4"",""value"":5,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""5"",""value"":6,""target"":null,""alias"":"""",""required"":0,""showNull"":1}]",select,7,1,11
34,Comodità,"[{""name"":""1"",""value"":""2"",""target"":null,""alias"":""Comodita"",""required"":0,""showNull"":1},{""name"":""2"",""value"":""3"",""target"":null,""alias"":""Comodita"",""required"":0,""showNull"":1},{""name"":""3"",""value"":""4"",""target"":null,""alias"":""Comodita"",""required"":0,""showNull"":1},{""name"":""4"",""value"":""5"",""target"":null,""alias"":""Comodita"",""required"":0,""showNull"":1},{""name"":""5"",""value"":""6"",""target"":null,""alias"":""Comodita"",""required"":0,""showNull"":1}]",select,7,1,9
35,Ingombro,"[{""name"":""1"",""value"":2,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""2"",""value"":3,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""3"",""value"":4,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""4"",""value"":5,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""5"",""value"":6,""target"":null,""alias"":"""",""required"":0,""showNull"":1}]",select,7,1,12
36,Capienza,"[{""name"":""1"",""value"":2,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""2"",""value"":3,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""3"",""value"":4,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""4"",""value"":5,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""5"",""value"":6,""target"":null,""alias"":"""",""required"":0,""showNull"":1}]",select,7,1,13
37,Usura,"[{""name"":""1"",""value"":""2"",""target"":null,""alias"":""Usura"",""required"":0,""showNull"":1},{""name"":""2"",""value"":""3"",""target"":null,""alias"":""Usura"",""required"":0,""showNull"":1},{""name"":""3"",""value"":""4"",""target"":null,""alias"":""Usura"",""required"":0,""showNull"":1},{""name"":""4"",""value"":""5"",""target"":null,""alias"":""Usura"",""required"":0,""showNull"":1},{""name"":""5"",""value"":""6"",""target"":null,""alias"":""Usura"",""required"":0,""showNull"":1}]",select,7,1,14
38,Costo,"[{""name"":""1"",""value"":2,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""2"",""value"":3,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""3"",""value"":4,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""4"",""value"":5,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""5"",""value"":6,""target"":null,""alias"":"""",""required"":0,""showNull"":1}]",select,7,1,5
39,Tipo di test,"[{""name"":null,""value"":"""",""editor"":""1"",""rows"":"""",""cols"":"""",""target"":null,""alias"":""Tipoditest"",""required"":0,""showNull"":0}]",textarea,7,1,2
40,Durata del test,"[{""name"":null,""value"":"""",""target"":null,""alias"":"""",""required"":0,""showNull"":0}]",textfield,7,1,3
41,Vantaggi,"[{""name"":null,""value"":"""",""editor"":null,""rows"":"""",""cols"":"""",""target"":null,""alias"":""pro"",""required"":0,""showNull"":0}]",textarea,7,1,6
42,Svantaggi,"[{""name"":null,""value"":"""",""editor"":null,""rows"":"""",""cols"":"""",""target"":null,""alias"":""contro"",""required"":0,""showNull"":0}]",textarea,7,1,7
43,Telaio,"[{""name"":""1"",""value"":""2"",""target"":null,""alias"":""Telaio"",""required"":0,""showNull"":1},{""name"":""2"",""value"":""3"",""target"":null,""alias"":""Telaio"",""required"":0,""showNull"":1},{""name"":""3"",""value"":""4"",""target"":null,""alias"":""Telaio"",""required"":0,""showNull"":1},{""name"":""4"",""value"":""5"",""target"":null,""alias"":""Telaio"",""required"":0,""showNull"":1},{""name"":""5"",""value"":""6"",""target"":null,""alias"":""Telaio"",""required"":0,""showNull"":1}]",select,7,1,16
44,Borse,"[{""name"":null,""value"":""Borse"",""displayInFrontEnd"":0,""target"":null,""alias"":""Borse"",""required"":1,""showNull"":0}]",header,7,1,8
45,Biciclette,"[{""name"":null,""value"":""Biciclette"",""displayInFrontEnd"":0,""target"":null,""alias"":"""",""required"":1,""showNull"":0}]",header,7,1,15
46,Valutazione generale,"[{""name"":null,""value"":""Valutazione generale"",""displayInFrontEnd"":0,""target"":null,""alias"":"""",""required"":1,""showNull"":0}]",header,7,1,1
47,Comodità-2,"[{""name"":""1"",""value"":""2"",""target"":null,""alias"":""Comodita"",""required"":0,""showNull"":1},{""name"":""2"",""value"":""3"",""target"":null,""alias"":""Comodita"",""required"":0,""showNull"":1},{""name"":""3"",""value"":""4"",""target"":null,""alias"":""Comodita"",""required"":0,""showNull"":1},{""name"":""4"",""value"":""5"",""target"":null,""alias"":""Comodita"",""required"":0,""showNull"":1},{""name"":""5"",""value"":""6"",""target"":null,""alias"":""Comodita"",""required"":0,""showNull"":1}]",select,7,1,17
48,Affidabilità,"[{""name"":""1"",""value"":2,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""2"",""value"":3,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""3"",""value"":4,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""4"",""value"":5,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""5"",""value"":6,""target"":null,""alias"":"""",""required"":0,""showNull"":1}]",select,7,1,18
49,Componenti,"[{""name"":""1"",""value"":2,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""2"",""value"":3,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""3"",""value"":4,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""4"",""value"":5,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""5"",""value"":6,""target"":null,""alias"":"""",""required"":0,""showNull"":1}]",select,7,1,19
50,Design,"[{""name"":""1"",""value"":2,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""2"",""value"":3,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""3"",""value"":4,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""4"",""value"":5,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""5"",""value"":6,""target"":null,""alias"":"""",""required"":0,""showNull"":1}]",select,7,1,20
51,Amazon-4,"[{""name"":null,""value"":"""",""target"":null,""alias"":""amazonrecensioni"",""required"":0,""showNull"":0}]",textfield,7,1,21
52,Time,"[{""name"":""Escaper (1 day)"",""value"":2,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""Weekender (2-3 days)"",""value"":3,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""Bicycle tourer (4-7 days)"",""value"":4,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""Bicycle traveler (8-15 days)"",""value"":5,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""Explorer (16-30 days)"",""value"":6,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""World traveler (31 days +)"",""value"":7,""target"":null,""alias"":"""",""required"":0,""showNull"":1}]",select,8,1,2
